STATE/UT,Year,CRIME,Boys 7-12 Years,Girls 7-12 Years,Boys 12-16 Years,Girls 12-16 Years,Boys 16-18 Years,Girls 16-18 Years,Total for boys all Age Groups,Total for girls all Age Groups,Grand total
0.0,2008,0.0,38,1,229,5,290,4,557,10,567
0.0,2008,0.0,1,0,17,0,66,0,84,0,84
0.0,2008,0.0,37,1,212,5,224,4,473,10,483
0.0,2008,0.0,0,0,12,0,6,0,18,0,18
0.0,2008,0.0,0,0,3,0,0,0,3,0,3
0.0,2008,0.0,0,0,7,0,7,0,14,0,14
0.0,2008,0.0,0,0,0,0,0,0,0,0,0
0.0,2008,0.0,0,0,3,0,1,0,4,0,4
0.0,2008,0.0,3,0,73,4,150,1,226,5,231
0.0,2008,0.0,0,0,1,0,0,2,1,2,3
0.0,2008,0.0,1,0,17,0,13,0,31,0,31
